name:ID,:LABEL
Jacob Zahavi,author
Friedrich L. Bauer,author
Peter Landrock,author
Donggang Liu,author
Christof Paar,author
Darrel Hankerson,author
Daniel J. Bernstein,author
Alessandro Campi,author
Alex Biryukov,author
Bart Preneel,author
Martin Corless,author
David Madigan,author
Nalini Venkatasubramanian,author
Christian A. Duncan,author
Jian Yang 0003,author
kc claffy,author
Wenke Lee,author
Samuel C. McClintock,author
Christopher D. Gill,author
Muhammet Mustafa Ozdal,author
Bobbie D. Seppelt,author
Harald Staab,author
Subhash Suri,author
Marjorie Senechal,author
Allen Holder,author
Christodoulos A. Floudas,author
Henning Behnke,author
Vivek Dua,author
Kenneth O. Kortanek,author
Schahram Dustdar,author
E. Eugene Schultz,author
Stephen James,author
Watit Benjapolakul,author
David C. Van Essen,author
Thomas P. Wellings,author
Rosalyn J. Moran,author
Moira L. Steyn-Ross,author
Xiang-Yang Li 0001,author
Juan A. Garay,author
My T. Thai,author
Richard Desper,author
Bettina Speckmann,author
Fabrizio Frati,author
Yinyu Ye,author
Lorna Uden,author
Martina H. Gerst,author
Scott Bingley,author
Brooke Abrahams,author
Ahmad Hatami,author
Siva Ravada,author
Sabine Timpf,author
James M. Kang,author
Gerard B. M. Heuvelink,author
Charles A. Doswell III,author
Ivan Bruha,author
Philippe Smets,author
Jerzy W. Grzymala-Busse,author
Khizar Hayat,author
Zhuolin Jiang,author
Peter Meer,author
Larry H. Matthies,author
Timothy Mark Pinkston,author
Philip W. Trinder,author
Appa Rao Korukonda,author
Dhiraj K. Pradhan,author
Sushil Jajodia,author
Jesse Hoey,author
Marta Mrak,author
Marco Roccetti,author
Simone Santini,author
Hong Man,author
Petros Daras,author
Karthik Nandakumar,author
Ahmed M. Elgammal,author
Michael Chau,author
Xin Liu,author
Gudmund R. Iversen,author
Damir Kalpic,author
Tapas Kumar Chandra,author
David P. Miller,author
Christos Georgoulas,author
Peter Stone,author
Adrian Popescu 0002,author
Xiangxiang Zuo,author
Vasilis Vassalos,author
