:START_ID,:END_ID,:TYPE
journals_lncs_CabibboM93,Luca Cabibbo,WRITES
journals_lncs_CabibboM93,Giansalvatore Mecca,WRITES
journals_lncs_AtzeniCCT93,Paolo Atzeni,WRITES
journals_lncs_AtzeniCCT93,Filippo Cacace,WRITES
journals_lncs_AtzeniCCT93,Stefano Ceri,WRITES
journals_lncs_AtzeniCCT93,Letizia Tanca,WRITES
journals_lncs_AtzeniCMT93,Paolo Atzeni,WRITES
journals_lncs_AtzeniCMT93,Luca Cabibbo,WRITES
journals_lncs_AtzeniCMT93,Giansalvatore Mecca,WRITES
journals_lncs_AtzeniCMT93,Letizia Tanca,WRITES
journals_lncs_CeriT93,Stefano Ceri,WRITES
journals_lncs_CeriT93,Letizia Tanca,WRITES
journals_lncs_BeneventanoBS93,Domenico Beneventano,WRITES
journals_lncs_BeneventanoBS93,Sonia Bergamaschi,WRITES
journals_lncs_BeneventanoBS93,Claudio Sartori 0001,WRITES
journals_lncs_NanniST93,Umberto Nanni,WRITES
journals_lncs_NanniST93,Silvio Salza,WRITES
journals_lncs_NanniST93,Mario Terranova,WRITES
journals_lncs_BeneventanoBSACS93,Domenico Beneventano,WRITES
journals_lncs_BeneventanoBSACS93,Sonia Bergamaschi,WRITES
journals_lncs_BeneventanoBSACS93,Claudio Sartori 0001,WRITES
journals_lncs_BeneventanoBSACS93,Alessandro Artale,WRITES
journals_lncs_BeneventanoBSACS93,Francesca Cesarini,WRITES
journals_lncs_BeneventanoBSACS93,Giovanni Soda,WRITES
journals_lncs_NanniST93a,Umberto Nanni,WRITES
journals_lncs_NanniST93a,Silvio Salza,WRITES
journals_lncs_NanniST93a,Mario Terranova,WRITES
journals_lncs_FabrizioCV93,Annalina Fabrizio,WRITES
journals_lncs_FabrizioCV93,Maurizio Capaccioli,WRITES
journals_lncs_FabrizioCV93,Sandra Valeri,WRITES
journals_lncs_ArtaleCS93,Alessandro Artale,WRITES
journals_lncs_ArtaleCS93,Francesca Cesarini,WRITES
journals_lncs_ArtaleCS93,Giovanni Soda,WRITES
journals_lncs_Atzeni93,Paolo Atzeni,WRITES
journals_lncs_PalopoliT93,Luigi Palopoli,WRITES
journals_lncs_PalopoliT93,Riccardo Torlone,WRITES
journals_lncs_FormicaM93,Anna Formica,WRITES
journals_lncs_FormicaM93,Michele Missikoff,WRITES
journals_lncs_LugliNC93,Marco Lugli,WRITES
journals_lncs_LugliNC93,Luca Nini,WRITES
journals_lncs_LugliNC93,Stefano Ceri,WRITES
reference_spatial_BalbianiGKV07,Philippe Balbiani,WRITES
reference_spatial_BalbianiGKV07,Valentin Goranko,WRITES
reference_spatial_BalbianiGKV07,Ruaan Kellerman,WRITES
reference_spatial_BalbianiGKV07,Dimiter Vakarelov,WRITES
reference_spatial_RenzN07,Jochen Renz,WRITES
reference_spatial_RenzN07,Bernhard Nebel,WRITES
reference_spatial_Pratt-Hartmann07,Ian Pratt-Hartmann,WRITES
reference_spatial_BlochHR07,Isabelle Bloch,WRITES
reference_spatial_BlochHR07,Henk J. A. M. Heijmans,WRITES
reference_spatial_BlochHR07,Christian Ronse,WRITES
reference_spatial_KontchakovKWZ07,Roman Kontchakov,WRITES
reference_spatial_KontchakovKWZ07,Agi Kurucz,WRITES
reference_spatial_KontchakovKWZ07,Frank Wolter,WRITES
reference_spatial_KontchakovKWZ07,Michael Zakharyaschev,WRITES
reference_spatial_Vickers07,Steven Vickers,WRITES
reference_spatial_GeertsK07,Floris Geerts,WRITES
reference_spatial_GeertsK07,Bart Kuijpers,WRITES
reference_spatial_KremerM07,Philip Kremer,WRITES
reference_spatial_KremerM07,Grigori Mints,WRITES
reference_spatial_BenthemB07,Johan van Benthem,WRITES
reference_spatial_BenthemB07,Guram Bezhanishvili,WRITES
reference_spatial_ParikhMS07,Rohit Parikh,WRITES
reference_spatial_ParikhMS07,Lawrence S. Moss,WRITES
reference_spatial_ParikhMS07,Chris Steinsvold,WRITES
reference_spatial_AielloPB07,Marco Aiello 0001,WRITES
reference_spatial_AielloPB07,Ian Pratt-Hartmann,WRITES
reference_spatial_AielloPB07,Johan van Benthem,WRITES
reference_spatial_SmythW07,Michael B. Smyth,WRITES
reference_spatial_SmythW07,Julian Webster,WRITES
reference_spatial_Varzi07,Achille C. Varzi,WRITES
reference_dmkdh_Burges10,Christopher J. C. Burges,WRITES
reference_dmkdh_Freitas10,Alex Alves Freitas,WRITES
reference_dmkdh_LevinZ10,Nissan Levin,WRITES
reference_dmkdh_LevinZ10,Jacob Zahavi,WRITES
reference_dmkdh_BenjaminiL10,Yoav Benjamini,WRITES
reference_dmkdh_BenjaminiL10,Moshe Leshno,WRITES
reference_dmkdh_YangWW10,Ying Yang 0001,WRITES
reference_dmkdh_YangWW10,Geoffrey I. Webb,WRITES
reference_dmkdh_YangWW10,Xindong Wu,WRITES
reference_dmkdh_RatanamahatanaLGKVD10,Chotirat Ann Ratanamahatana,WRITES
reference_dmkdh_RatanamahatanaLGKVD10,Jessica Lin 0001,WRITES
reference_dmkdh_RatanamahatanaLGKVD10,Dimitrios Gunopulos,WRITES
reference_dmkdh_RatanamahatanaLGKVD10,Eamonn J. Keogh,WRITES
reference_dmkdh_RatanamahatanaLGKVD10,Michail Vlachos,WRITES
reference_dmkdh_RatanamahatanaLGKVD10,Gautam Das,WRITES
reference_dmkdh_GaberZK10,Mohamed Medhat Gaber,WRITES
reference_dmkdh_GaberZK10,Arkady B. Zaslavsky,WRITES
reference_dmkdh_GaberZK10,Shonali Krishnaswamy,WRITES
reference_dmkdh_Grzymala-BusseG10,Jerzy W. Grzymala-Busse,WRITES
reference_dmkdh_Grzymala-BusseG10,Witold J. Grzymala-Busse,WRITES
reference_dmkdh_MaimonR10,Oded Maimon,WRITES
reference_dmkdh_MaimonR10,Lior Rokach,WRITES
reference_dmkdh_HalkidiV10,Maria Halkidi,WRITES
reference_dmkdh_HalkidiV10,Michalis Vazirgiannis,WRITES
reference_dmkdh_LinL10,Tsau Young Lin,WRITES
reference_dmkdh_LinL10,Churn-Jung Liau,WRITES
reference_dmkdh_Rokach10,Lior Rokach,WRITES
reference_dmkdh_YaoBH10,Hong Yao,WRITES
reference_dmkdh_YaoBH10,Cory J. Butz,WRITES
reference_dmkdh_YaoBH10,Howard J. Hamilton,WRITES
reference_dmkdh_ZhangZ10,Zhongfei (Mark) Zhang,WRITES
reference_dmkdh_ZhangZ10,Ruofei Zhang,WRITES
reference_dmkdh_WangY10,Wei Wang 0010,WRITES
reference_dmkdh_WangY10,Jiong Yang,WRITES
reference_dmkdh_ChiziM10,Barak Chizi,WRITES
reference_dmkdh_ChiziM10,Oded Maimon,WRITES
reference_dmkdh_Berk10,Richard A. Berk,WRITES
reference_dmkdh_ShekharZH10,Shashi Shekhar,WRITES
reference_dmkdh_ShekharZH10,Pusheng Zhang,WRITES
reference_dmkdh_ShekharZH10,Yan Huang 0002,WRITES
reference_dmkdh_RokachM10b,Lior Rokach,WRITES
reference_dmkdh_RokachM10b,Oded Maimon,WRITES
reference_dmkdh_TsoumakasKV10,Grigorios Tsoumakas,WRITES
reference_dmkdh_TsoumakasKV10,Ioannis Katakis,WRITES
reference_dmkdh_TsoumakasKV10,Ioannis P. Vlahavas,WRITES
reference_dmkdh_Ben-Gal10,Irad Ben-Gal,WRITES
reference_dmkdh_KovalerchukV10,Boris Kovalerchuk,WRITES
reference_dmkdh_KovalerchukV10,Evgenii Vityaev,WRITES
reference_dmkdh_KisilevichMNR10,Slava Kisilevich,WRITES
reference_dmkdh_KisilevichMNR10,Florian Mansmann,WRITES
reference_dmkdh_KisilevichMNR10,Mirco Nanni,WRITES
reference_dmkdh_KisilevichMNR10,Salvatore Rinzivillo,WRITES
reference_dmkdh_SinghalJ10,Anoop Singhal,WRITES
reference_dmkdh_SinghalJ10,Sushil Jajodia,WRITES
reference_dmkdh_Grzymala-Busse10,Jerzy W. Grzymala-Busse,WRITES
reference_dmkdh_LavracZ10,Nada Lavrac,WRITES
reference_dmkdh_LavracZ10,Blaz Zupan,WRITES
reference_dmkdh_ZhangS10,Qingyu Zhang,WRITES
reference_dmkdh_ZhangS10,Richard S. Segall,WRITES
reference_dmkdh_Donoho10,Steve Donoho,WRITES
reference_dmkdh_VilaltaGB10,Ricardo Vilalta,WRITES
reference_dmkdh_VilaltaGB10,Christophe G. Giraud-Carrier,WRITES
reference_dmkdh_VilaltaGB10,Pavel Brazdil,WRITES
reference_dmkdh_LiMO10,Tao Li 0001,WRITES
reference_dmkdh_LiMO10,Sheng Ma,WRITES
reference_dmkdh_LiMO10,Mitsunori Ogihara,WRITES
reference_dmkdh_RokachM10,Lior Rokach,WRITES
reference_dmkdh_RokachM10,Oded Maimon,WRITES
reference_dmkdh_MaimonC10,Oded Maimon,WRITES
reference_dmkdh_MaimonC10,Shahar Cohen,WRITES
reference_dmkdh_Moyle10,Steve Moyle,WRITES
reference_dmkdh_Goethals10,Bart Goethals,WRITES
reference_dmkdh_FrankHHKPWT10,Eibe Frank,WRITES
reference_dmkdh_FrankHHKPWT10,Mark A. Hall,WRITES
reference_dmkdh_FrankHHKPWT10,Geoffrey Holmes,WRITES
reference_dmkdh_FrankHHKPWT10,Richard Kirkby,WRITES
reference_dmkdh_FrankHHKPWT10,Bernhard Pfahringer,WRITES
reference_dmkdh_FrankHHKPWT10,Ian H. Witten,WRITES
reference_dmkdh_FrankHHKPWT10,Len Trigg,WRITES
reference_dmkdh_Giudici10,Paolo Giudici,WRITES
reference_dmkdh_Geurts10,Pierre Geurts,WRITES
reference_dmkdh_Chawla10,Nitesh V. Chawla,WRITES
reference_dmkdh_Dzeroski10,Saso Dzeroski,WRITES
reference_dmkdh_MaimonB10,Oded Maimon,WRITES
reference_dmkdh_MaimonB10,Abel Browarnik,WRITES
reference_dmkdh_Sahar10,Sigal Sahar,WRITES
reference_dmkdh_RiminiM10,Noa Ruschin Rimini,WRITES
reference_dmkdh_RiminiM10,Oded Maimon,WRITES
reference_dmkdh_OikonomakouV10,Nora Oikonomakou,WRITES
reference_dmkdh_OikonomakouV10,Michalis Vazirgiannis,WRITES
reference_dmkdh_Ben-DovF10,Moty Ben-Dov,WRITES
reference_dmkdh_Ben-DovF10,Ronen Feldman,WRITES
reference_dmkdh_WangYH10,Haixun Wang,WRITES
reference_dmkdh_WangYH10,Philip S. Yu,WRITES
reference_dmkdh_WangYH10,Jiawei Han 0001,WRITES
reference_dmkdh_Rokach10b,Lior Rokach,WRITES
reference_dmkdh_Thearling10,Kurt H. Thearling,WRITES
reference_dmkdh_MaleticM10,Jonathan I. Maletic,WRITES
reference_dmkdh_MaleticM10,Andrian Marcus,WRITES
reference_dmkdh_Singh10,Gautam B. Singh,WRITES
reference_dmkdh_Zhang10,G. Peter Zhang,WRITES
reference_dmkdh_DasA10,Swagatam Das,WRITES
reference_dmkdh_DasA10,Ajith Abraham,WRITES
reference_dmkdh_RokachM10a,Lior Rokach,WRITES
reference_dmkdh_RokachM10a,Oded Maimon,WRITES
reference_dmkdh_NematiB10,Hamid R. Nemati,WRITES
reference_dmkdh_NematiB10,Christopher D. Barko,WRITES
reference_dmkdh_CongiustaTT10,Antonio Congiusta,WRITES
reference_dmkdh_CongiustaTT10,Domenico Talia,WRITES
reference_dmkdh_CongiustaTT10,Paolo Trunfio,WRITES
reference_dmkdh_Shmilovici10,Armin Shmilovici,WRITES
reference_dmkdh_Weiss10,Gary M. Weiss,WRITES
reference_dmkdh_Rokach10a,Lior Rokach,WRITES
reference_crypt_Venkatakrishnan11,V. N. Venkatakrishnan,WRITES
reference_crypt_Krawczyk11,Hugo Krawczyk,WRITES
reference_crypt_Bosselaers05,Antoon Bosselaers,WRITES
reference_crypt_Kaliski05r,Burton S. Kaliski Jr.,WRITES
reference_crypt_Landrock05c,Peter Landrock,WRITES
reference_crypt_Bleumer11x,Gerrit Bleumer,WRITES
reference_crypt_Handschuh11b,Helena Handschuh,WRITES
reference_crypt_Preneel11l,Bart Preneel,WRITES
reference_crypt_Just05c,Mike Just,WRITES
reference_crypt_Vauclair11b,Marc Vauclair,WRITES
reference_crypt_Bauer05o,Friedrich L. Bauer,WRITES
reference_crypt_Contini11,Scott Contini,WRITES
reference_crypt_RivestK11,Ronald L. Rivest,WRITES
reference_crypt_RivestK11,Burt Kaliski,WRITES
reference_crypt_Durfee11,Glenn Durfee,WRITES
reference_crypt_Kaliski05c,Burton S. Kaliski Jr.,WRITES
reference_crypt_Preneel11,Bart Preneel,WRITES
reference_crypt_Gordon11,Daniel M. Gordon,WRITES
reference_crypt_Kirda11a,Engin Kirda,WRITES
reference_crypt_Pointcheval11,David Pointcheval,WRITES
reference_crypt_HankersonM11e,Darrel Hankerson,WRITES
reference_crypt_HankersonM11e,Alfred Menezes,WRITES
reference_crypt_Caddy11d,Tom Caddy,WRITES
reference_crypt_Cronin11,Eric Cronin,WRITES
reference_crypt_Landrock05e,Peter Landrock,WRITES
reference_crypt_Biryukov05k,Alex Biryukov,WRITES
reference_crypt_Adams11k,Carlisle Adams,WRITES
reference_crypt_StolfoBS11,Salvatore J. Stolfo,WRITES
reference_crypt_StolfoBS11,Brian M. Bowen,WRITES
reference_crypt_StolfoBS11,Malek Ben Salem,WRITES
reference_crypt_Ardagna11b,Claudio Agostino Ardagna,WRITES
reference_crypt_Gorla11,Elisa Gorla,WRITES
reference_crypt_Kaliski05p,Burton S. Kaliski Jr.,WRITES
reference_crypt_Boneh05a,Dan Boneh,WRITES
reference_crypt_Biryukov05a,Alex Biryukov,WRITES
reference_crypt_Biryukov11q,Alex Biryukov,WRITES
reference_crypt_Millen11a,Jonathan K. Millen,WRITES
reference_crypt_Paulus05,Sachar Paulus,WRITES
reference_crypt_Helleseth05d,Tor Helleseth,WRITES
reference_crypt_Bleumer05h,Gerrit Bleumer,WRITES
reference_crypt_Bleumer11m,Gerrit Bleumer,WRITES
